"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_truth_mean","gamma_fixed_mean","lambda_truth_min","lambda_truth_max","lambda_post_mean_min","lambda_post_mean_max","phi_rmse","phi_cor","r_rmse","r_mean_bias","beta0_bias","beta1_bias","beta2_bias","beta0_covered","beta1_covered","beta2_covered","phi_coverage","r_coverage","log_lambda_rmse","log_lambda_coverage_95","cor_log_lambda","cor_delta_log_lambda","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec"
"S2_DYNAMIC_FIXED_GAMMA_T100",1,100,9,164.013333333333,0,TRUE,TRUE,TRUE,0.8,0.8,0.672003565894424,1.512122179452,0.773036498813027,1.31036671311142,0.0259197607973179,0.99757913367001,2.64798548890404,0.331237653820511,-0.0028287766685311,NA,NA,1,NA,NA,0.888888888888889,0.888888888888889,0.0573048543347875,0.907777777777778,0.87374417634088,0.229713574848174,0.2848,0.299972222222222,14.490475,225.36699999962
"S2_DYNAMIC_FIXED_GAMMA_T100",2,100,9,190.828888888889,0,TRUE,TRUE,TRUE,0.8,0.8,0.867134424629295,1.16408300862199,0.902056590597963,1.08372335579725,0.0208660826126072,0.996766081107464,3.41172802118575,1.63528721177092,-0.00249770827661644,NA,NA,1,NA,NA,1,0.888888888888889,0.0453858673144512,0.935555555555556,0.540696147826775,0.0953941568871271,0.269325,0.317375,14.595075,225.321000000462
"S2_DYNAMIC_FIXED_GAMMA_T100",3,100,9,230.316666666667,0,TRUE,TRUE,TRUE,0.8,0.8,0.77194753777953,1.17803573190334,0.905670923415493,1.13426036229099,0.0292818092400841,0.992035195829557,2.17470804649545,-0.0915132253082142,0.00301479501084212,NA,NA,1,NA,NA,0.888888888888889,1,0.0389485700856297,0.983333333333333,0.78610623680667,0.14538822653194,0.25695,0.308813888888889,14.45085,229.785000000149
"S2_DYNAMIC_FIXED_GAMMA_T100",4,100,9,160.464444444444,0,TRUE,TRUE,TRUE,0.8,0.8,0.681134707604779,1.38501022163585,0.766451840944715,1.37847311415334,0.0281804757954893,0.990651836273222,2.59676456390032,0.448550209270568,-0.00453419142911038,NA,NA,1,NA,NA,0.888888888888889,1,0.0470379688786313,0.947777777777778,0.864958872804943,0.174426343170752,0.230275,0.305575,14.4812,227.389999999665
"S2_DYNAMIC_FIXED_GAMMA_T100",5,100,9,281.008888888889,0,TRUE,TRUE,TRUE,0.8,0.8,0.820762434234092,1.21437773334684,0.86120482461053,1.11849273631062,0.0245729007763066,0.998083640866376,2.58363759194873,0.525636103308038,0.011338924482559,NA,NA,1,NA,NA,1,1,0.0471984856886868,0.927777777777778,0.652124828959801,0.153449412353332,0.253125,0.299055555555556,14.534975,226.774000000209
"S2_DYNAMIC_FIXED_GAMMA_T100",6,100,9,213.898888888889,0,TRUE,TRUE,TRUE,0.8,0.8,0.687019697752817,1.29212472395296,0.824581741903634,1.1710339694191,0.0233889711365392,0.99756340396101,1.59544966638002,-0.0964143261304923,-0.0112612094485725,NA,NA,1,NA,NA,1,1,0.0408763274882136,0.975555555555556,0.828697564786047,0.213701679806683,0.234875,0.3039,14.509375,227.202000000514
"S2_DYNAMIC_FIXED_GAMMA_T100",7,100,9,205.13,0,TRUE,TRUE,TRUE,0.8,0.8,0.773283088022971,1.46034747956778,0.837185807680761,1.31493598444495,0.0162295856274079,0.999826612151691,1.02539621729212,-0.237620530349528,0.00955451652355022,NA,NA,1,NA,NA,1,1,0.0506344908551931,0.963333333333333,0.88736332598626,0.227622399653367,0.256625,0.304588888888889,14.4133,223.758999999613
"S2_DYNAMIC_FIXED_GAMMA_T100",8,100,9,174.394444444444,0,TRUE,TRUE,TRUE,0.8,0.8,0.83253927762397,1.34519007743444,0.858689548313193,1.2244210295705,0.0214194142850997,0.997794551899091,2.02397250765955,0.142913941195716,0.00209824077859433,NA,NA,1,NA,NA,1,1,0.0499104440835855,0.942222222222222,0.758075392222093,0.175862303741363,0.2499,0.301344444444444,14.50525,223.564000000246
"S2_DYNAMIC_FIXED_GAMMA_T100",9,100,9,178.144444444444,0,TRUE,TRUE,TRUE,0.8,0.8,0.619037333121575,1.50217806132883,0.731069576771458,1.19446203427738,0.0264404442111249,0.998998018588451,2.62247115599314,-0.211365137810618,-0.00122762825910039,NA,NA,1,NA,NA,1,1,0.0475444828385449,0.954444444444444,0.897630483924228,0.224661930409595,0.241225,0.305255555555556,14.420675,220.987999999896
"S2_DYNAMIC_FIXED_GAMMA_T100",10,100,9,188.225555555556,0,TRUE,TRUE,TRUE,0.8,0.8,0.755548547412699,1.44251539876033,0.863991267304794,1.18631782312758,0.0456482017999292,0.99585759279956,2.37099109710051,0.0105614340464233,0.00778456461872734,NA,NA,1,NA,NA,0.777777777777778,0.888888888888889,0.0543753910347445,0.921111111111111,0.750640920712365,0.241982416341139,0.26835,0.302866666666667,14.480925,233.082000000402
"S2_DYNAMIC_FIXED_GAMMA_T100",11,100,9,202.09,0,TRUE,TRUE,TRUE,0.8,0.8,0.787981182766052,1.21979827329653,0.879441195294969,1.14578887499252,0.0180438776187175,0.997072110240595,2.93799062375544,1.42846843552673,-0.0102506953124797,NA,NA,1,NA,NA,1,1,0.0383785799533562,0.99,0.817177989967219,0.25203030915867,0.229525,0.302841666666667,14.513775,1510.23999999929
"S2_DYNAMIC_FIXED_GAMMA_T100",12,100,9,228.074444444444,0,TRUE,TRUE,TRUE,0.8,0.8,0.832220064060255,1.18981785751518,0.860093113233995,1.10412678768667,0.0196122126310678,0.999021280988461,1.58256088701088,0.445592335590842,0.00873064449036409,NA,NA,1,NA,NA,1,1,0.045135797438734,0.933333333333333,0.665367140360003,0.0728579961710547,0.26265,0.304033333333333,14.529,342.702999999747
"S2_DYNAMIC_FIXED_GAMMA_T100",13,100,9,196.535555555556,0,TRUE,TRUE,TRUE,0.8,0.8,0.715009747783493,1.43439611206275,0.770786741190196,1.33958707316083,0.0157362639030557,0.999215573080381,2.48861547185733,0.484186069884058,0.00371720623886329,NA,NA,1,NA,NA,1,1,0.0491935717958201,0.944444444444444,0.855473429177022,0.26038976263121,0.2594,0.301877777777778,14.5412,505.429999999702
"S2_DYNAMIC_FIXED_GAMMA_T100",14,100,9,228.855555555556,0,TRUE,TRUE,TRUE,0.8,0.8,0.823726855889369,1.22754361720226,0.891441942610518,1.14909396684975,0.0229265827062683,0.997761275033008,2.7658400758616,1.66072690409755,0.00397553920997917,NA,NA,1,NA,NA,1,1,0.037900192538298,0.978888888888889,0.714015634280825,0.158029057791911,0.253425,0.298377777777778,14.5931,504.957999999635
